Table 4.1. Foreign Transactions in the National Income and Product Accounts
Table 4.1. Foreign Transactions in the National Income and Product Accounts
"Last Revised on: August 29, 2024 - Next Release Date September 26, 2024"
Line,,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
17,"        Current payments to the rest of the world",6.3,4.8,3.5,2.3,2.3,2.6,3.3,3.7,4.6,3.3,3.6,4.0,4.9,5.1,6.8,7.6,8.9,10.3,11.0,15.2,15.5,16.4,19.0,18.7,19.5,18.7,20.8,22.5,23.6,23.6,28.3,28.8,28.7,31.2,32.7,34.8,38.9,45.2,48.7,56.5,62.1,68.8,76.7,91.2,109.9,150.5,146.9,174.8,207.5,245.8,299.6,351.4,393.9,387.5,413.9,514.3,530.2,575.0,641.3,712.4,774.3,815.6,755.4,830.7,889.8,1021.1,1148.5,1229.0,1364.0,1445.1,1631.9,1924.7,1803.0,1846.0,2006.2,2343.4,2692.0,3067.0,3325.2,3484.1,2745.3,3153.8,3510.1,3585.8,3617.2,3781.0,3692.4,3676.5,3963.1,4271.8,4323.6,3885.3,4690.3,5427.5,5508.0
18,Imports of goods and services,5.6,4.1,2.9,1.9,1.9,2.2,3.0,3.2,4.0,2.8,3.1,3.4,4.4,4.6,6.3,6.9,7.5,7.0,7.9,10.1,9.2,11.6,14.6,15.3,16.0,15.4,17.2,18.9,19.9,20.0,22.3,22.8,22.7,25.0,26.1,28.1,31.5,37.1,39.9,46.6,50.5,55.8,62.3,74.2,91.2,127.5,122.7,151.1,182.4,212.3,252.7,293.8,317.8,303.2,328.6,405.1,417.2,452.9,508.7,554.0,591.0,629.7,623.5,667.8,720.0,813.4,902.6,964.0,1055.8,1115.7,1252.5,1477.2,1403.6,1437.7,1557.1,1810.5,2041.5,2256.6,2395.2,2576.2,2001.9,2389.6,2695.5,2769.3,2766.4,2887.4,2794.9,2738.8,2931.6,3131.2,3117.0,2776.5,3408.3,3966.2,3825.9
19,"    Goods1",4.5,3.1,2.1,1.3,1.5,1.8,2.5,2.5,3.2,2.2,2.4,2.7,3.4,2.7,3.4,3.8,3.9,5.1,6.0,7.6,6.9,9.1,11.2,10.8,11.0,10.4,11.5,12.8,13.3,13.0,15.3,15.2,15.1,16.9,17.7,19.4,22.2,26.3,27.8,33.9,36.8,40.9,46.6,56.9,71.8,104.5,99.0,124.6,152.6,177.4,212.8,248.6,267.8,250.5,272.7,336.3,343.3,370.0,414.8,452.1,484.8,508.1,500.7,544.9,592.8,676.8,757.4,807.4,885.7,930.8,1051.2,1251.2,1176.2,1198.9,1299.0,1513.6,1722.8,1900.6,2002.7,2148.7,1588.1,1947.0,2231.1,2293.3,2293.9,2389.3,2289.6,2218.7,2369.9,2559.1,2516.7,2305.1,2842.4,3262.4,3111.8
20,"        Durable",1.3,0.8,0.5,0.2,0.3,0.4,0.7,0.7,1.0,0.6,0.7,1.0,1.4,1.0,1.0,1.1,1.2,1.5,1.8,2.4,2.1,3.0,3.8,4.1,4.1,3.6,4.5,5.2,5.3,5.0,6.6,6.4,6.0,6.9,7.4,8.4,10.4,13.3,14.5,18.8,20.8,22.8,26.6,33.3,40.8,50.3,45.6,56.8,69.2,89.0,100.4,111.9,126.0,125.1,147.3,192.4,204.2,238.8,264.2,294.8,310.3,314.5,315.5,346.7,386.4,454.0,510.8,533.4,588.5,637.7,715.8,822.8,757.4,774.0,807.8,937.7,1027.5,1131.9,1175.9,1162.8,892.7,1105.6,1231.9,1322.3,1356.4,1449.2,1489.7,1463.7,1562.3,1657.3,1628.3,1503.2,1839.3,2052.5,2011.2
21,"        Nondurable",3.2,2.3,1.7,1.1,1.2,1.3,1.8,1.8,2.2,1.6,1.7,1.7,2.1,1.8,2.5,2.7,2.7,3.6,4.2,5.2,4.8,6.1,7.4,6.7,6.9,6.7,7.1,7.6,8.0,8.0,8.7,8.9,9.0,9.9,10.3,11.0,11.8,13.1,13.2,15.1,16.1,18.1,19.9,23.6,31.0,54.2,53.4,67.8,83.4,88.4,112.3,136.6,141.8,125.4,125.4,143.9,139.1,131.2,150.6,157.3,174.5,193.5,185.2,198.2,206.4,222.8,246.7,274.1,297.1,293.0,335.4,428.4,418.8,424.9,491.3,576.0,695.2,768.7,826.8,985.9,695.4,841.4,999.2,971.0,937.5,940.1,799.9,755.0,807.6,901.7,888.4,801.9,1003.1,1209.9,1100.6
22,"    Services1",1.1,1.0,0.8,0.6,0.4,0.5,0.5,0.6,0.8,0.7,0.7,0.7,1.0,1.9,2.8,3.1,3.7,1.9,2.0,2.5,2.4,2.5,3.4,4.5,5.0,5.1,5.7,6.1,6.7,7.1,7.0,7.6,7.6,8.1,8.4,8.7,9.3,10.7,12.2,12.6,13.7,14.9,15.8,17.3,19.3,22.9,23.7,26.5,29.8,34.8,39.9,45.3,49.9,52.6,56.0,68.8,73.9,82.9,93.9,101.9,106.2,121.7,122.8,122.9,127.2,136.6,145.1,156.5,170.1,184.9,201.3,226.0,227.4,238.9,258.1,296.9,318.7,356.0,392.5,427.5,413.8,442.5,464.3,476.1,472.5,498.1,505.4,520.1,561.7,572.1,600.3,471.4,565.9,703.8,714.1
23,Income payments,0.4,0.3,0.3,0.2,0.1,0.2,0.2,0.3,0.4,0.3,0.3,0.3,0.3,0.3,0.4,0.4,0.5,0.4,0.5,0.6,0.7,0.7,0.9,0.9,0.9,0.9,1.1,1.1,1.2,1.2,1.5,1.8,1.8,1.8,2.1,2.3,2.6,3.0,3.3,4.0,5.7,6.4,6.4,7.7,10.9,14.3,15.0,15.5,16.9,24.7,36.4,44.9,59.1,64.5,64.8,85.6,87.3,94.4,105.8,129.5,152.9,154.2,136.8,121.0,124.4,161.6,201.9,215.5,256.8,269.4,293.7,352.2,289.3,290.0,318.9,388.0,494.5,656.2,754.5,710.0,539.0,554.3,589.9,594.7,616.9,646.4,640.5,661.5,738.2,848.4,892.8,778.1,928.6,1070.7,1292.9
24,"    Wage and salary payments",---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,0.0,0.1,0.0,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.4,0.4,0.4,0.5,0.5,0.5,0.6,0.7,0.7,0.7,0.8,0.9,2.7,2.4,1.9,2.3,3.5,4.0,4.8,5.1,6.0,6.3,6.3,6.7,7.0,11.5,11.9,12.5,12.8,13.4,14.5,16.4,16.6,16.1,17.2,13.9,13.5,13.9,14.3,15.2,15.9,16.7,17.3,17.0,17.2,18.9,14.4,17.9,23.5,25.0
25,"    Income payments on assets",---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,0.6,0.6,0.7,0.8,0.7,0.8,0.8,0.9,0.9,1.0,1.0,1.3,1.5,1.5,1.6,1.8,2.1,2.4,2.8,3.1,3.8,5.5,6.2,6.2,7.4,10.6,13.9,14.6,15.1,16.4,24.2,35.9,44.3,58.4,63.8,64.0,84.7,86.4,91.7,103.5,127.6,150.6,150.7,132.7,116.2,119.3,155.6,195.6,209.2,250.1,262.4,282.2,340.3,276.8,277.2,305.5,373.4,478.1,639.5,738.4,692.8,525.1,540.8,576.0,580.4,601.7,630.4,623.7,644.2,721.2,831.1,873.9,763.7,910.7,1047.3,1267.9
26,"        Interest",---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.3,0.4,0.5,0.5,0.6,0.8,0.7,0.9,1.0,1.2,1.3,1.7,1.9,2.4,4.0,4.7,4.2,5.2,7.9,11.0,11.3,10.7,11.8,18.0,27.9,36.0,50.0,59.7,58.0,75.2,77.7,82.4,92.5,113.0,142.2,145.8,133.7,111.0,107.3,129.1,161.2,171.8,202.2,218.3,227.3,284.4,262.9,229.1,216.4,244.5,329.4,457.7,574.8,509.1,376.9,346.7,347.5,336.9,334.4,341.9,348.8,372.0,416.0,486.3,523.4,443.6,441.0,555.4,766.7
27,"        Dividends",---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,0.2,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.4,0.4,0.4,0.4,0.5,0.5,0.5,0.6,0.6,0.7,0.8,0.8,0.9,1.0,1.1,1.4,1.6,1.8,1.9,2.1,2.7,3.1,3.5,3.9,4.7,5.3,7.5,7.4,7.4,9.2,10.0,11.2,13.2,16.3,18.7,17.1,16.6,18.9,21.5,25.8,28.7,32.8,41.0,51.0,56.9,46.5,44.8,68.9,73.3,102.5,108.1,108.6,135.9,119.0,126.6,143.7,151.7,179.5,193.9,189.4,193.8,210.1,225.9,226.6,234.6,246.5,268.1,272.0
28,"        Reinvested earnings on foreign direct investment in the United States",---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,0.2,0.1,0.2,0.2,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.4,0.3,0.4,0.5,0.4,0.4,0.6,0.6,0.9,1.1,1.2,1.7,1.6,2.6,4.1,3.6,3.1,-3.4,-1.3,2.2,-0.5,-0.7,-0.3,1.4,-7.9,-13.9,-18.1,-11.4,-6.9,5.1,8.6,8.7,15.2,3.0,4.0,-1.0,-32.6,3.4,20.3,55.6,46.2,73.7,55.1,47.8,29.2,67.5,84.8,91.8,87.8,94.6,85.6,78.5,95.1,118.9,123.9,85.5,223.2,223.7,229.2
29,Current taxes and transfer payments to the rest of the world2,0.4,0.3,0.3,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.8,2.9,2.6,4.5,5.6,4.0,3.5,2.6,2.5,2.3,2.6,2.5,2.4,2.4,4.4,4.1,4.2,4.4,4.5,4.4,4.7,5.1,5.5,5.9,5.9,6.6,7.9,9.2,7.9,8.7,9.1,8.1,8.1,8.8,10.6,12.6,17.0,19.8,20.5,23.6,25.7,27.8,26.8,29.0,30.4,31.7,-4.9,41.9,45.4,46.1,44.1,49.5,51.4,60.0,85.7,95.4,110.2,118.3,130.1,144.9,156.1,154.2,175.5,198.0,204.3,209.9,224.7,221.8,233.9,247.2,257.0,276.1,293.4,292.3,313.8,330.7,353.4,390.6,389.2
30,"    From persons",0.3,0.3,0.3,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.1,0.2,0.4,0.5,0.7,0.7,0.7,0.5,0.4,0.4,0.4,0.5,0.5,0.4,0.5,0.5,0.4,0.5,0.5,0.5,0.6,0.7,0.7,0.8,0.8,1.0,1.0,1.1,1.3,1.4,1.4,1.6,1.4,1.3,1.4,1.4,1.6,1.7,2.0,5.6,6.7,7.0,7.9,8.3,9.1,10.0,10.8,11.6,12.2,14.1,14.5,17.1,18.9,20.3,22.6,25.7,29.7,36.3,38.6,42.5,44.4,46.1,49.5,54.4,57.1,65.3,71.1,69.8,72.1,74.7,75.7,77.8,83.7,89.5,90.6,95.7,98.7,102.3,102.3,114.4,121.5,121.6
31,"    From government",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.1,-0.1,-0.1,0.3,2.3,2.0,3.8,5.1,3.6,3.1,2.1,2.0,1.9,2.1,2.0,1.9,1.9,3.9,3.6,3.6,3.7,3.7,3.5,3.8,4.1,4.2,4.6,4.5,4.9,6.1,7.4,5.6,6.4,7.1,5.7,5.3,5.9,6.8,8.3,8.3,9.7,10.1,12.2,14.4,15.4,13.4,13.7,14.2,14.7,-24.0,22.0,22.9,21.1,15.6,20.0,16.7,17.4,25.0,26.8,26.7,29.3,32.0,34.0,39.9,41.7,49.1,54.3,62.9,63.3,66.8,67.3,66.6,65.3,65.2,69.2,67.8,74.3,74.3,87.6,94.3,117.5,120.0
32,"    From business",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.3,0.3,0.4,0.4,0.5,0.7,1.0,0.7,1.1,1.4,1.4,2.0,2.4,3.2,3.4,3.4,3.5,2.9,3.2,3.4,4.5,4.6,4.8,5.0,5.4,5.4,6.0,8.2,6.9,9.1,13.0,24.4,29.9,41.1,44.6,52.0,61.4,61.8,55.3,61.0,72.5,71.6,74.6,83.2,78.7,89.6,98.1,102.4,116.3,129.8,119.3,137.2,140.8,144.8,151.6,147.5
33,"        Balance on current account, NIPAs",0.8,0.7,0.2,0.2,0.2,0.4,-0.1,-0.1,0.2,1.2,1.0,1.5,1.3,-0.1,-2.1,-2.0,-1.3,4.9,9.3,2.4,0.9,-1.8,0.9,0.6,-1.3,0.2,0.4,2.7,4.7,0.8,-1.3,3.2,4.2,3.8,4.9,7.5,6.2,3.8,3.5,1.5,1.6,3.7,0.3,-4.0,8.9,6.0,19.8,7.1,-10.9,-12.6,-1.2,8.5,3.4,-3.3,-35.1,-90.1,-114.3,-142.7,-154.1,-115.7,-92.4,-74.9,7.9,-45.6,-79.4,-115.6,-105.9,-115.0,-130.1,-205.3,-276.6,-396.9,-391.4,-455.4,-527.6,-637.8,-751.2,-819.3,-740.9,-704.2,-383.1,-439.8,-460.3,-424.0,-351.2,-375.1,-423.1,-401.4,-378.0,-441.2,-448.4,-569.7,-847.8,-985.8,-831.2
,Addenda:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,"    Net lending or net borrowing (-), NIPAs",0.8,0.7,0.2,0.2,0.2,0.4,-0.1,-0.1,0.2,1.2,1.0,1.5,1.3,-0.1,-2.1,-2.0,-1.3,4.9,9.3,2.4,0.9,-1.8,0.9,0.6,-1.3,0.2,0.4,2.7,4.7,0.8,-1.3,3.2,4.2,3.8,4.9,7.5,6.2,3.8,3.5,1.5,1.6,3.7,0.3,-4.1,8.8,5.9,19.8,7.0,-11.0,-12.7,-1.3,8.4,3.3,-3.4,-35.2,-90.2,-114.4,-142.8,-154.2,-115.9,-92.7,-82.3,2.6,-44.3,-80.2,-116.9,-106.3,-115.2,-130.6,-205.6,-283.3,-401.4,-379.5,-459.6,-536.4,-642.4,-750.5,-827.0,-747.2,-705.0,-389.4,-447.2,-469.8,-423.5,-358.2,-382.0,-431.4,-408.4,-394.0,-445.8,-455.3,-575.8,-851.5,-991.1,-845.0
