DATE,GDPC1_PCH
2014-07-01,1.21539
2014-10-01,0.50573
2015-01-01,0.90048
2015-04-01,0.61941
2015-07-01,0.40025
2015-10-01,0.18448
2016-01-01,0.57952
2016-04-01,0.32112
2016-07-01,0.70939
2016-10-01,0.55430
2017-01-01,0.48689
2017-04-01,0.55987
2017-07-01,0.78852
2017-10-01,1.12705
2018-01-01,0.81341
2018-04-01,0.53083
2018-07-01,0.62370
2018-10-01,0.14164
2019-01-01,0.62432
2019-04-01,0.83515
2019-07-01,1.17000
2019-10-01,0.68188
2020-01-01,-1.39244
2020-04-01,-7.90897
2020-07-01,7.83023
2020-10-01,1.08473
2021-01-01,1.38019
2021-04-01,1.57004
2021-07-01,0.85285
2021-10-01,1.80316
2022-01-01,-0.25745
2022-04-01,0.07018
2022-07-01,0.67321
2022-10-01,0.82783
2023-01-01,0.69204
2023-04-01,0.60697
2023-07-01,1.07152
2023-10-01,0.78867
2024-01-01,0.40480
2024-04-01,0.73898
2024-07-01,0.69903
