Table 1.12. National Income by Type of Income
Table 1.12. National Income by Type of Income
"Last Revised on: August 29, 2024 - Next Release Date September 26, 2024"
Line,,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
10,"    Farm",5.7,3.9,3.0,1.8,2.2,2.6,4.9,3.9,5.6,4.0,4.0,4.1,6.0,9.7,11.5,11.4,11.8,14.2,14.3,16.7,12.0,12.9,15.3,14.3,12.2,11.7,10.7,10.6,10.6,12.4,10.0,10.6,11.2,11.2,11.0,9.8,12.0,13.0,11.6,11.7,12.8,12.9,13.4,17.0,29.1,23.5,22.0,17.2,16.0,19.9,22.2,11.7,19.0,13.3,6.2,20.9,21.0,22.8,28.9,26.8,33.0,32.2,26.8,34.8,31.4,34.7,22.0,37.3,32.4,28.6,28.0,31.2,32.1,20.3,37.1,52.4,47.9,34.3,41.5,39.5,27.6,38.7,63.9,61.0,87.5,68.5,55.5,36.0,41.0,32.1,32.1,44.4,72.2,81.7,54.3
11,"    Nonfarm",8.4,7.0,5.3,3.3,3.0,4.4,5.2,6.4,6.9,6.6,7.1,8.2,10.6,13.7,16.7,17.9,19.0,21.5,20.2,22.6,22.7,24.6,27.3,28.7,29.8,30.5,33.6,35.2,37.2,37.7,40.3,39.9,42.0,44.0,45.4,49.4,51.6,54.9,57.8,62.2,64.2,64.9,70.5,78.1,83.4,88.7,96.2,113.8,128.5,146.1,157.3,159.9,160.7,157.9,180.1,207.3,220.1,233.7,257.6,298.7,308.1,321.0,327.4,365.4,396.6,422.0,459.2,506.4,551.6,611.7,668.3,722.4,798.9,849.8,860.4,910.5,931.2,1016.6,953.9,920.8,910.5,1069.8,1164.4,1238.9,1264.2,1301.5,1292.3,1313.2,1387.6,1463.2,1522.1,1539.4,1676.8,1709.1,1794.1
12,Rental income of persons with CCAdj,6.1,5.4,4.4,3.6,2.9,2.5,2.6,2.7,3.0,3.5,3.7,3.8,4.4,5.5,6.0,6.3,6.6,6.9,6.9,7.5,7.8,8.8,9.7,10.8,12.0,13.1,13.4,13.7,14.1,14.8,15.6,16.5,17.2,18.0,18.7,18.8,19.3,19.9,20.3,20.1,20.3,20.7,21.8,22.7,23.1,23.2,22.3,20.3,15.9,16.5,16.1,19.0,23.8,23.8,24.4,24.7,26.2,18.3,16.6,22.5,21.5,28.2,38.6,60.6,90.1,113.7,124.9,142.5,147.1,165.2,178.5,183.5,202.4,208.4,227.1,242.8,221.1,181.1,186.3,290.3,347.6,433.7,506.5,534.5,578.7,598.5,601.4,618.7,642.0,671.5,684.5,756.1,814.2,878.3,967.3
13,Corporate profits with IVA and CCAdj,10.8,7.5,3.0,-0.2,-0.2,2.5,4.0,6.2,7.1,5.0,6.6,9.9,15.7,20.8,24.9,25.0,20.5,18.2,24.2,31.4,29.1,36.1,41.2,39.7,40.3,39.5,50.2,49.6,49.1,43.9,55.5,54.7,55.9,64.0,70.5,77.7,89.3,96.1,93.9,101.7,98.4,86.2,100.6,117.2,133.4,125.7,138.9,174.3,205.8,238.6,249.2,223.1,245.9,227.8,277.9,337.3,353.1,323.6,370.8,416.2,418.7,419.3,448.7,481.3,530.7,634.1,716.7,803.6,889.9,835.2,866.8,826.4,787.2,930.4,1077.1,1320.5,1530.0,1696.1,1595.8,1345.6,1425.7,1774.5,1862.4,2057.7,2081.1,2212.8,2173.1,2144.3,2225.2,2365.2,2470.3,2383.3,2922.8,3208.7,3258.0
14,"    Taxes on corporate income",1.4,0.8,0.5,0.4,0.5,0.7,1.0,1.4,1.5,1.0,1.4,2.8,7.6,11.4,14.1,12.9,10.7,9.1,11.2,12.3,10.0,17.7,22.3,19.1,19.9,17.3,21.8,21.6,20.9,18.4,22.8,21.9,22.2,23.3,25.5,26.6,29.8,32.2,31.0,37.2,37.0,31.3,34.8,39.1,45.6,47.2,46.3,59.4,68.5,77.9,80.7,75.5,70.3,51.3,66.4,81.5,81.6,91.9,112.7,124.3,124.4,121.8,117.8,131.9,155.0,172.7,194.4,211.4,224.8,221.8,227.4,233.4,170.1,160.7,213.8,278.5,379.7,430.1,391.8,255.9,203.9,272.3,280.8,334.6,362.4,406.9,396.1,376.0,297.2,297.4,297.4,307.5,404.6,542.4,585.2
15,"    Profits after tax with IVA and CCAdj",9.5,6.7,2.5,-0.6,-0.7,1.8,3.1,4.8,5.6,4.0,5.2,7.0,8.1,9.4,10.8,12.0,9.8,9.1,13.0,19.1,19.0,18.3,18.9,20.6,20.4,22.1,28.4,28.1,28.3,25.4,32.7,32.8,33.7,40.7,45.0,51.1,59.5,63.9,62.9,64.6,61.5,55.0,65.8,78.1,87.8,78.5,92.6,114.9,137.3,160.7,168.5,147.6,175.6,176.5,211.5,255.8,271.5,231.7,258.1,292.0,294.3,297.5,330.9,349.4,375.7,461.4,522.2,592.2,665.1,613.4,639.4,593.0,617.0,769.7,863.3,1042.0,1150.3,1266.0,1204.0,1089.7,1221.7,1502.2,1581.7,1723.1,1718.7,1805.9,1777.0,1768.3,1928.1,2067.7,2172.9,2075.8,2518.1,2666.3,2672.9
16,"        Net dividends",5.8,5.5,4.1,2.5,2.0,2.6,2.8,4.5,4.7,3.2,3.8,4.0,4.4,4.3,4.4,4.6,4.6,5.6,6.4,7.2,7.4,9.0,8.8,8.9,9.2,9.6,10.7,11.7,12.3,12.1,13.5,14.3,14.6,15.8,17.1,19.8,21.5,22.3,23.4,26.0,27.3,27.8,28.4,30.1,34.2,38.8,38.3,44.9,50.7,57.8,67.0,76.0,83.9,88.5,96.4,102.0,111.7,121.1,119.9,145.5,179.3,193.6,202.1,206.5,221.7,258.6,283.5,323.9,359.9,386.6,375.4,413.1,402.9,427.5,455.0,579.8,579.3,715.8,818.3,841.4,634.7,636.0,788.0,945.3,997.3,1059.9,1128.7,1139.4,1253.9,1319.9,1416.8,1496.7,1814.7,1887.3,1848.8
17,"        Undistributed profits with IVA and CCAdj",3.7,1.2,-1.6,-3.1,-2.7,-0.8,0.2,0.3,0.9,0.8,1.4,3.0,3.7,5.1,6.4,7.4,5.2,3.6,6.6,11.9,11.6,9.3,10.1,11.7,11.1,12.6,17.6,16.4,16.0,13.3,19.2,18.5,19.2,24.9,27.9,31.4,38.0,41.6,39.5,38.6,34.2,27.2,37.5,48.0,53.5,39.7,54.3,70.0,86.6,102.9,101.5,71.6,91.7,88.0,115.1,153.8,159.7,110.6,138.2,146.5,115.0,104.0,128.8,142.9,154.0,202.9,238.7,268.3,305.2,226.7,264.0,179.9,214.1,342.2,408.3,462.2,571.0,550.1,385.7,248.3,587.0,866.2,793.7,777.8,721.4,746.0,648.3,628.9,674.2,747.8,756.1,579.1,703.4,779.0,824.1
18,Net interest and miscellaneous payments,4.6,4.8,4.8,4.5,4.0,4.0,4.1,3.8,3.7,3.6,3.6,3.3,3.3,3.2,2.9,2.4,2.3,1.8,2.3,2.5,2.8,3.1,3.6,4.0,4.5,5.4,5.9,6.5,7.7,9.2,9.3,10.3,12.1,13.8,14.8,17.0,19.1,21.8,24.9,27.0,32.7,39.5,44.2,48.0,55.7,71.7,83.7,87.4,103.2,114.8,136.8,182.8,236.8,277.1,288.8,331.0,339.8,354.1,349.1,376.3,422.3,432.0,395.9,361.9,347.5,338.7,347.8,348.9,375.6,431.0,435.3,504.0,516.7,447.6,427.0,350.4,434.8,520.4,582.3,618.7,515.9,437.7,408.1,445.3,392.7,426.4,496.3,489.2,525.2,536.4,515.2,529.3,504.6,457.4,185.4
19,Taxes on production and imports,6.8,7.0,6.7,6.6,6.9,7.6,8.0,8.5,8.9,8.9,9.1,9.8,11.1,11.5,12.4,13.7,15.1,16.8,18.1,19.7,20.9,23.0,24.7,27.1,29.1,28.9,31.5,34.2,36.6,37.7,41.1,44.5,47.0,50.4,53.4,57.3,60.7,63.2,67.9,76.4,83.9,91.4,100.5,107.9,117.2,124.9,135.3,146.4,159.7,170.9,180.1,200.3,235.6,240.9,263.3,289.8,308.1,323.4,347.5,374.5,398.9,425.0,457.1,483.4,503.1,545.2,557.9,580.8,611.6,639.5,673.6,708.6,727.7,760.0,805.6,868.1,942.4,997.0,1036.8,1049.7,1026.8,1063.1,1103.7,1136.1,1185.8,1237.7,1273.5,1309.1,1364.0,1457.1,1533.1,1520.5,1671.9,1810.2,1832.6
20,Less: Subsidies2,0.0,0.1,0.1,0.1,0.2,0.5,0.6,0.3,0.3,0.5,0.8,0.7,0.5,0.5,0.6,1.0,1.1,1.4,0.4,0.5,0.5,0.8,1.0,0.8,0.5,0.3,0.2,0.7,1.1,1.4,1.1,1.1,2.0,2.3,2.2,2.7,3.0,3.9,3.8,4.2,4.5,4.8,4.7,6.6,5.2,3.3,4.5,5.1,7.1,8.9,8.5,9.8,11.5,15.0,21.3,21.1,21.4,24.9,30.3,29.5,27.4,27.0,27.5,30.1,36.7,32.5,34.8,35.2,33.8,36.4,45.2,45.8,58.7,41.4,49.1,46.4,60.9,51.5,54.6,52.6,58.3,55.8,60.0,58.0,59.7,58.1,57.2,61.7,59.9,63.3,73.0,656.9,482.7,127.4,101.1
21,Business current transfer payments (net),0.5,0.5,0.5,0.6,0.5,0.5,0.5,0.5,0.5,0.4,0.4,0.5,0.5,0.5,0.6,0.8,0.9,0.7,0.7,0.7,0.7,0.8,1.2,1.2,1.2,0.9,1.3,1.7,1.8,1.7,1.7,1.7,1.9,2.1,2.5,3.0,3.5,3.4,3.6,4.2,4.8,4.4,4.2,4.8,5.7,6.8,9.0,9.1,8.1,10.4,12.8,14.0,16.9,19.3,21.7,29.2,34.1,36.0,33.3,32.8,38.3,39.2,38.9,39.7,39.4,40.7,45.0,52.6,50.1,64.1,67.7,85.2,99.2,80.8,76.0,82.0,90.6,79.8,97.2,112.8,125.1,126.3,130.1,95.5,107.3,135.5,153.9,162.5,142.9,155.8,160.8,145.0,189.0,216.8,214.5
22,"    To persons (net)",0.4,0.4,0.4,0.5,0.4,0.4,0.4,0.4,0.4,0.3,0.3,0.3,0.4,0.3,0.4,0.4,0.5,0.4,0.4,0.4,0.4,0.6,0.9,0.9,0.8,0.6,0.9,1.2,1.4,1.2,1.3,1.3,1.4,1.5,1.9,2.2,2.3,2.1,2.3,2.8,3.3,2.9,2.7,3.1,3.9,4.7,6.8,6.7,5.1,6.5,8.2,8.6,11.2,12.4,13.8,19.7,22.3,22.9,20.2,20.6,23.2,22.2,17.6,16.3,14.1,13.3,18.7,22.9,19.4,26.0,34.0,42.4,46.8,34.2,26.3,16.8,25.8,20.8,30.8,35.8,39.0,43.7,48.5,40.4,38.4,42.9,50.3,59.7,48.3,50.3,55.8,47.2,87.7,99.1,104.3
23,"    To government (net)",0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.3,0.4,0.4,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.4,0.4,0.4,0.5,0.3,0.4,0.5,0.6,0.7,0.8,1.2,1.3,1.4,1.4,1.5,1.4,1.5,1.7,1.8,2.1,2.2,2.4,3.0,3.9,4.5,5.4,5.7,6.9,7.9,9.4,11.8,13.0,13.1,12.2,15.1,17.0,21.3,23.6,25.6,27.9,24.9,30.7,29.8,34.3,36.5,41.9,43.9,46.2,48.3,52.1,52.3,56.4,59.6,68.0,84.6,82.6,85.3,67.2,82.5,100.8,108.9,100.9,93.9,101.5,93.6,96.9,102.4,115.2,115.4
24,"    To the rest of the world (net)",---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,-0.1,-0.3,-0.4,1.4,-1.0,0.8,3.8,-2.7,0.8,8.6,0.3,1.5,13.1,12.5,2.6,6.9,9.0,1.5,0.0,-3.7,-12.1,-13.6,-8.3,-5.2,1.9,0.7,4.1,11.4,0.9,-1.1,2.5,-5.2
25,Current surplus of government enterprises2,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,0.5,0.5,0.3,0.4,0.8,0.9,0.8,0.4,0.3,0.5,0.2,-1.0,-1.5,-0.9,-2.0,-2.4,-4.1,-2.4,-3.0,-2.4,-2.7,-4.5,-4.7,-3.4,-1.9,-0.9,1.9,2.5,2.7,5.6,7.3,3.7,8.2,10.4,11.4,12.7,16.5,17.8,18.1,16.9,16.8,11.5,5.7,7.6,5.1,0.4,-3.4,-5.9,-12.9,-16.7,-14.6,-18.5,-17.8,-13.6,-13.6,-8.5,-2.8,-2.2,-4.3,-4.6,-12.0,-1.8,-5.0,4.4,-9.7
,Addenda for corporate cash flow:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,"    Net cash flow with IVA",8.9,6.3,3.1,1.1,1.3,3.3,4.4,4.5,5.6,5.6,6.2,8.1,9.2,11.5,12.9,14.2,12.1,11.6,16.4,23.4,24.0,22.6,25.2,27.8,28.4,30.9,37.2,38.5,40.6,39.8,46.9,47.1,48.8,55.9,60.4,65.9,75.2,82.5,84.6,88.7,90.0,89.1,105.2,121.7,135.6,136.0,168.0,195.3,227.2,262.4,285.1,284.0,336.8,360.7,401.0,456.9,486.6,460.5,509.5,546.3,540.1,558.6,607.1,626.8,669.7,741.5,827.6,894.7,975.2,941.7,1032.8,1018.5,1107.5,1256.8,1340.9,1425.7,1600.9,1669.4,1574.7,1569.2,1934.3,2157.5,2157.0,2177.3,2174.8,2267.0,2238.8,2254.3,2106.1,2530.7,2661.9,2536.1,2764.9,3009.5,3296.5
27,"        Undistributed profits with IVA and CCAdj",3.7,1.2,-1.6,-3.1,-2.7,-0.8,0.2,0.3,0.9,0.8,1.4,3.0,3.7,5.1,6.4,7.4,5.2,3.6,6.6,11.9,11.6,9.3,10.1,11.7,11.1,12.6,17.6,16.4,16.0,13.3,19.2,18.5,19.2,24.9,27.9,31.4,38.0,41.6,39.5,38.6,34.2,27.2,37.5,48.0,53.5,39.7,54.3,70.0,86.6,102.9,101.5,71.6,91.7,88.0,115.1,153.8,159.7,110.6,138.2,146.5,115.0,104.0,128.8,142.9,154.0,202.9,238.7,268.3,305.2,226.7,264.0,179.9,214.1,342.2,408.3,462.2,571.0,550.1,385.7,248.3,587.0,866.2,793.7,777.8,721.4,746.0,648.3,628.9,674.2,747.8,756.1,579.1,703.4,779.0,824.1
28,"        Consumption of fixed capital",5.2,5.1,4.8,4.2,4.0,4.1,4.2,4.2,4.7,4.8,4.8,5.0,5.6,6.4,6.6,6.7,7.0,8.0,9.8,11.5,12.4,13.3,15.1,16.1,17.3,18.3,19.6,22.1,24.6,26.4,27.6,28.5,29.5,30.8,32.4,34.4,37.1,40.9,45.1,50.0,55.7,61.8,67.6,73.4,82.0,96.0,113.5,125.0,140.5,159.3,183.4,212.1,244.9,272.5,285.9,303.2,326.9,349.9,371.3,399.9,427.1,454.7,479.6,494.3,517.2,547.6,590.4,626.3,670.1,715.0,769.6,838.6,888.6,914.6,932.5,973.0,1042.1,1119.3,1188.9,1256.7,1263.7,1270.7,1324.5,1392.0,1447.7,1524.3,1587.2,1629.9,1709.3,1793.6,1893.4,1970.6,2074.3,2288.9,2471.8
29,"        Less: Capital transfers paid (net)",---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,0.0,0.0,0.0,0.0,0.0,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.3,-0.2,-0.2,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.3,10.4,1.4,8.9,1.5,0.0,0.0,0.0,0.9,0.0,-4.8,0.0,-0.1,9.5,12.2,0.0,0.0,-64.2,-83.6,-20.6,-38.8,-7.4,-5.7,3.3,-3.2,4.4,277.4,10.7,-12.4,13.6,12.8,58.5,-0.6
,Addenda:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,"    Proprietors' income with IVA and CCAdj",14.0,10.9,8.3,5.0,5.3,7.0,10.1,10.4,12.5,10.6,11.1,12.2,16.7,23.3,28.2,29.3,30.8,35.7,34.6,39.3,34.7,37.5,42.6,43.0,42.0,42.3,44.3,45.8,47.8,50.2,50.3,50.6,53.2,55.2,56.4,59.1,63.7,67.9,69.5,73.8,77.0,77.8,83.9,95.1,112.5,112.2,118.2,131.0,144.5,166.0,179.4,171.6,179.7,171.2,186.3,228.2,241.1,256.5,286.5,325.5,341.1,353.2,354.2,400.2,428.0,456.6,481.2,543.8,584.0,640.3,696.4,753.6,831.1,870.1,897.5,962.9,979.1,1050.9,995.4,960.3,938.1,1108.5,1228.3,1299.9,1351.7,1370.0,1347.7,1349.2,1428.6,1495.3,1554.1,1583.8,1749.1,1790.9,1848.4
31,"        Farm",5.7,3.9,3.0,1.8,2.2,2.6,4.9,3.9,5.6,4.0,4.0,4.1,6.0,9.7,11.5,11.4,11.8,14.2,14.3,16.7,12.0,12.9,15.3,14.3,12.2,11.7,10.7,10.6,10.6,12.4,10.0,10.6,11.2,11.2,11.0,9.8,12.0,13.0,11.6,11.7,12.8,12.9,13.4,17.0,29.1,23.5,22.0,17.2,16.0,19.9,22.2,11.7,19.0,13.3,6.2,20.9,21.0,22.8,28.9,26.8,33.0,32.2,26.8,34.8,31.4,34.7,22.0,37.3,32.4,28.6,28.0,31.2,32.1,20.3,37.1,52.4,47.9,34.3,41.5,39.5,27.6,38.7,63.9,61.0,87.5,68.5,55.5,36.0,41.0,32.1,32.1,44.4,72.2,81.7,54.3
32,"            Proprietors' income with IVA",5.7,3.9,3.0,1.7,2.2,2.6,4.9,4.0,5.7,4.1,4.0,4.1,6.1,9.8,11.7,11.6,12.0,14.4,14.6,17.1,12.4,13.3,15.8,14.9,12.7,12.2,11.2,11.1,11.1,13.0,10.7,11.2,11.8,11.7,11.5,10.3,12.5,13.6,12.3,12.3,13.6,13.8,14.5,18.2,30.3,25.3,24.6,20.1,19.3,23.7,26.6,17.3,25.6,20.4,13.1,27.6,27.2,28.9,34.8,32.5,38.8,37.8,32.5,40.4,36.8,40.1,27.4,42.6,37.4,33.3,32.8,35.8,36.8,24.8,41.6,57.2,53.4,40.1,47.6,46.0,33.9,44.5,69.8,66.8,93.3,74.5,61.3,41.9,47.0,38.4,38.6,51.0,79.9,92.6,65.9
