Table 5.1. Saving and Investment by Sector
Table 5.1. Saving and Investment by Sector
"Last Revised on: August 29, 2024 - Next Release Date September 26, 2024"
Line,,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
10,"    Net government saving",2.1,1.1,-1.6,-1.2,-1.0,-1.5,-1.3,-1.5,1.6,-0.1,-0.9,0.6,2.2,-10.3,-16.0,-28.3,-30.9,-7.3,2.5,1.0,-8.0,2.2,6.1,-0.2,-1.8,-6.0,1.6,4.4,0.0,-10.9,-1.8,2.7,-2.5,-2.3,1.1,-3.0,-1.9,-2.3,-15.5,-10.3,-2.0,-33.4,-52.2,-42.9,-32.7,-43.7,-108.6,-85.3,-72.9,-57.2,-48.6,-94.7,-98.2,-190.1,-225.6,-196.7,-201.7,-219.9,-180.1,-171.3,-178.7,-239.5,-308.5,-405.6,-386.2,-319.9,-312.9,-233.6,-134.4,-29.3,29.5,118.2,-104.7,-451.4,-579.4,-543.3,-397.4,-307.9,-390.0,-847.0,-1585.5,-1627.3,-1511.2,-1357.5,-899.9,-831.6,-774.0,-909.5,-961.6,-1106.2,-1250.3,-2946.3,-2496.6,-1001.9,-1814.3
11,"        Federal",0.8,0.0,-2.4,-1.6,-1.2,-2.6,-2.3,-3.6,-0.2,-1.8,-2.6,-1.0,0.6,-11.4,-17.1,-29.4,-32.0,-8.1,2.5,1.0,-8.5,1.9,4.5,-2.1,-4.2,-8.0,-0.6,1.4,-2.6,-12.1,-3.9,0.2,-4.7,-5.4,-2.2,-6.9,-5.5,-7.0,-19.5,-13.8,-5.1,-34.8,-50.9,-49.0,-38.3,-41.3,-97.9,-80.9,-73.4,-62.0,-47.4,-88.8,-88.1,-167.4,-207.2,-196.5,-199.2,-215.9,-165.7,-160.0,-159.4,-203.3,-248.4,-334.5,-313.5,-255.6,-242.1,-179.4,-92.0,1.4,69.1,159.7,15.0,-267.8,-397.4,-393.5,-293.8,-221.9,-259.7,-624.9,-1243.2,-1318.4,-1234.1,-1072.7,-633.9,-594.0,-557.4,-667.3,-736.8,-906.4,-1044.4,-2894.4,-2739.9,-1062.2,-1664.2
12,"        State and local",1.3,1.1,0.7,0.4,0.2,1.0,1.0,2.1,1.8,1.7,1.7,1.6,1.5,1.1,1.0,1.1,1.1,0.8,0.1,0.1,0.5,0.3,1.6,1.9,2.3,2.0,2.2,3.0,2.7,1.2,2.1,2.5,2.2,3.1,3.3,3.9,3.7,4.7,4.0,3.5,3.1,1.4,-1.3,6.1,5.6,-2.3,-10.7,-4.4,0.5,4.9,-1.2,-5.9,-10.2,-22.8,-18.4,-0.2,-2.4,-4.0,-14.4,-11.3,-19.3,-36.3,-60.1,-71.1,-72.6,-64.2,-70.8,-54.2,-42.4,-30.7,-39.7,-41.5,-119.8,-183.6,-182.0,-149.8,-103.7,-86.0,-130.4,-222.1,-342.3,-309.0,-277.0,-284.8,-266.0,-237.6,-216.6,-242.2,-224.8,-199.9,-205.9,-51.9,243.4,60.4,-150.1
13,Consumption of fixed capital,10.4,10.2,9.5,8.3,8.0,8.4,8.5,8.8,9.8,10.0,10.1,10.6,12.1,14.9,18.0,21.3,23.1,25.7,29.1,31.3,32.3,33.4,37.7,40.6,43.5,46.0,48.9,54.1,58.9,62.5,65.4,67.9,70.6,74.1,78.0,82.4,88.0,95.3,103.6,113.4,124.9,136.8,148.9,161.0,178.7,206.9,238.5,260.2,289.8,327.2,373.9,428.4,487.2,537.0,562.6,598.4,640.1,685.3,730.4,784.5,838.3,888.5,932.4,960.2,1003.5,1055.6,1122.4,1175.3,1239.3,1309.7,1398.9,1511.2,1599.5,1658.0,1719.1,1821.8,1971.1,2124.2,2252.8,2359.0,2371.3,2390.4,2474.4,2575.5,2681.6,2819.7,2922.9,3008.1,3149.0,3312.6,3479.8,3625.5,3873.3,4299.9,4585.8
14,"    Private",9.4,9.2,8.6,7.5,7.0,7.3,7.3,7.5,8.4,8.6,8.6,9.0,10.0,11.2,11.5,12.0,12.5,14.2,17.7,20.8,22.6,24.3,27.7,29.5,31.3,33.0,35.0,38.8,42.3,44.9,46.8,48.2,49.8,51.8,54.2,57.3,61.6,67.2,73.3,80.6,89.4,98.3,107.6,117.5,131.5,153.2,178.8,196.5,221.1,252.1,290.7,335.0,381.9,420.4,438.8,463.5,496.4,531.6,566.3,607.9,649.6,688.4,721.5,742.9,778.2,822.5,880.7,929.1,987.8,1052.2,1132.2,1231.5,1311.7,1361.8,1412.0,1497.1,1622.6,1751.8,1852.4,1931.9,1928.5,1933.2,1997.2,2081.9,2176.6,2301.4,2397.9,2475.6,2599.1,2737.3,2881.8,3007.7,3214.3,3577.6,3822.1
15,"        Domestic business",8.1,7.9,7.4,6.5,6.1,6.2,6.3,6.4,7.2,7.3,7.3,7.6,8.5,9.6,9.8,10.2,10.5,11.9,14.8,17.4,18.9,20.4,23.2,24.6,26.1,27.4,28.9,32.2,35.2,37.5,39.0,40.0,41.3,42.9,44.9,47.4,50.9,55.6,60.9,67.0,74.2,81.8,89.4,97.2,108.2,126.1,147.9,162.2,181.5,205.5,236.4,272.8,313.5,347.5,362.8,382.7,410.3,438.1,464.5,499.2,532.6,564.6,592.3,608.2,634.2,669.0,717.8,758.5,807.9,860.1,924.0,1004.6,1064.9,1098.8,1125.4,1178.8,1266.5,1362.6,1446.6,1525.0,1531.0,1536.5,1595.0,1669.9,1737.5,1830.4,1906.3,1958.0,2050.5,2150.8,2267.1,2360.2,2492.4,2756.6,2966.4
16,"        Households and institutions",1.3,1.3,1.2,1.0,0.9,1.0,1.0,1.1,1.2,1.3,1.3,1.3,1.5,1.6,1.7,1.9,2.0,2.3,3.0,3.4,3.7,4.0,4.6,5.0,5.3,5.6,6.1,6.6,7.1,7.4,7.8,8.2,8.5,8.8,9.3,9.9,10.7,11.5,12.4,13.6,15.2,16.5,18.2,20.3,23.3,27.0,30.9,34.3,39.6,46.6,54.4,62.2,68.5,72.9,76.0,80.9,86.2,93.4,101.8,108.8,117.0,123.8,129.2,134.7,144.0,153.5,162.9,170.6,179.9,192.1,208.2,227.0,246.8,263.0,286.6,318.3,356.2,389.2,405.8,407.0,397.5,396.7,402.2,412.0,439.1,471.0,491.6,517.6,548.6,586.5,614.7,647.5,722.0,821.0,855.6
17,"    Government",1.0,1.0,1.0,0.9,1.0,1.1,1.2,1.3,1.4,1.5,1.5,1.6,2.1,3.7,6.5,9.3,10.6,11.4,11.4,10.5,9.7,9.1,10.0,11.1,12.1,13.0,13.9,15.3,16.7,17.5,18.6,19.7,20.8,22.3,23.9,25.1,26.4,28.1,30.2,32.8,35.5,38.6,41.3,43.5,47.2,53.7,59.7,63.7,68.7,75.1,83.1,93.5,105.3,116.6,123.8,134.9,143.7,153.7,164.1,176.6,188.6,200.1,210.9,217.4,225.3,233.1,241.7,246.2,251.6,257.6,266.7,279.7,287.8,296.2,307.1,324.7,348.4,372.3,400.3,427.0,442.8,457.2,477.2,493.6,505.0,518.3,525.1,532.5,549.9,575.3,598.0,617.8,659.0,722.3,763.7
18,"        Federal",0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.4,0.4,0.4,0.5,0.5,0.9,2.2,5.0,7.8,9.2,9.9,9.5,8.4,7.5,6.9,7.4,8.3,9.3,10.1,10.7,11.7,12.7,13.4,14.3,15.2,16.0,17.2,18.4,19.2,20.0,21.0,22.5,24.2,25.8,27.6,29.1,30.2,32.4,35.4,38.7,41.7,45.3,49.7,54.6,60.4,67.5,75.4,81.1,90.6,97.0,103.6,110.1,118.9,126.9,133.5,140.1,143.3,147.0,150.3,153.5,153.7,154.3,155.4,158.2,163.1,164.4,166.8,172.2,180.5,190.5,201.3,212.8,225.9,233.6,243.7,254.9,261.6,266.1,271.3,272.4,273.7,280.2,290.2,299.2,309.4,326.0,350.8,370.5
19,"        State and local",0.8,0.8,0.7,0.7,0.7,0.9,0.9,0.9,1.0,1.0,1.1,1.1,1.2,1.4,1.5,1.5,1.4,1.6,1.9,2.1,2.2,2.2,2.6,2.8,2.9,3.0,3.2,3.6,3.9,4.1,4.3,4.5,4.8,5.1,5.5,5.9,6.4,7.1,7.8,8.6,9.6,10.9,12.2,13.3,14.8,18.4,21.0,22.0,23.4,25.4,28.6,33.1,37.8,41.2,42.7,44.3,46.8,50.1,54.0,57.7,61.8,66.6,70.8,74.1,78.3,82.8,88.1,92.5,97.3,102.2,108.6,116.6,123.4,129.3,134.9,144.2,157.9,171.0,187.5,201.2,209.1,213.4,222.2,232.0,238.9,247.1,252.6,258.8,269.7,285.2,298.9,308.4,333.0,371.5,393.2
20,"        Gross domestic investment, capital account transactions, and net lending, NIPAs",20.8,15.4,9.8,4.3,4.5,7.4,10.2,13.5,17.1,13.4,15.8,20.6,31.5,40.7,45.2,45.4,36.4,42.8,52.1,61.2,51.3,66.1,83.2,82.5,85.8,83.6,98.5,107.5,111.5,104.4,120.3,125.7,130.7,143.4,152.7,166.0,183.7,201.6,203.9,217.7,234.7,233.6,255.6,284.8,341.4,356.6,361.5,420.0,478.9,571.3,658.6,674.6,781.9,734.7,773.6,923.2,935.2,944.6,992.7,1079.6,1177.8,1208.9,1246.3,1263.6,1319.3,1435.1,1519.3,1637.0,1792.1,1875.3,1978.9,2030.4,1955.3,1918.7,1963.6,2129.7,2296.8,2432.5,2524.2,2403.0,2189.5,2370.2,2508.8,2818.8,3089.0,3305.2,3494.8,3526.6,3771.1,4014.3,4219.0,3995.1,4195.2,4647.6,5005.2
21,Gross domestic investment,20.1,14.7,9.6,4.1,4.3,7.0,10.2,13.6,16.9,12.2,14.8,19.0,30.2,40.7,47.3,47.3,37.7,37.8,42.8,58.8,50.4,68.0,82.3,81.9,87.1,83.5,98.1,104.8,106.7,103.6,121.5,122.5,126.5,139.6,147.7,158.5,177.5,197.8,200.4,216.2,233.1,229.8,255.3,288.8,332.6,350.7,341.7,412.9,489.8,583.9,659.8,666.0,778.6,738.0,808.7,1013.3,1049.5,1087.2,1146.8,1195.4,1270.1,1283.8,1238.4,1309.1,1398.7,1550.7,1625.2,1752.0,1922.2,2080.7,2255.5,2427.3,2346.7,2374.1,2491.3,2767.5,3048.0,3251.8,3265.0,3107.2,2572.6,2810.0,2969.2,3242.8,3440.2,3680.3,3917.9,3928.0,4149.1,4455.4,4667.4,4564.8,5043.0,5633.4,5836.4
22,"    Gross private domestic investment",17.2,11.4,6.5,1.8,2.3,4.3,7.4,9.4,13.0,7.9,10.2,14.6,19.4,11.8,7.4,9.2,12.4,33.1,37.1,50.3,39.1,56.5,62.8,57.3,60.4,58.1,73.8,77.7,76.5,70.9,85.7,86.5,86.6,97.0,103.3,112.2,129.6,144.2,142.7,156.9,173.6,170.0,196.8,228.1,266.9,274.5,257.3,323.2,396.6,478.4,539.7,530.1,631.2,581.0,637.5,820.1,829.7,849.1,892.2,937.0,999.7,993.4,944.3,1013.0,1106.8,1256.5,1317.5,1432.1,1595.6,1736.7,1887.1,2038.4,1934.8,1930.4,2027.1,2281.3,2534.7,2701.0,2673.0,2477.6,1929.7,2165.5,2332.6,2621.8,2838.3,3074.0,3288.5,3278.3,3467.7,3724.8,3892.4,3748.4,4216.3,4756.6,4843.9
23,"        Domestic business",---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,60.7,61.5,70.2,74.5,81.5,97.5,113.0,111.0,121.1,135.1,132.5,148.2,167.9,200.2,212.8,193.1,240.3,287.9,351.8,409.3,413.2,513.9,470.8,484.8,641.7,644.4,634.1,656.6,689.2,750.0,755.1,715.4,749.8,817.7,932.7,1001.9,1081.0,1219.4,1306.5,1418.6,1541.4,1406.3,1355.6,1379.0,1526.8,1682.1,1852.7,1953.0,1901.6,1462.1,1708.8,1864.4,2097.0,2226.8,2416.0,2554.2,2474.8,2610.9,2815.0,2956.8,2743.6,3023.8,3510.9,3659.2
24,"        Households and institutions",---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,25.7,25.1,26.7,28.8,30.7,32.1,31.2,31.7,35.9,38.5,37.5,48.7,60.2,66.7,61.7,64.2,83.0,108.7,126.5,130.4,116.9,117.4,110.3,152.7,178.4,185.3,215.1,235.5,247.7,249.7,238.3,228.9,263.2,289.1,323.8,315.5,351.0,376.2,430.2,468.5,497.0,528.6,574.8,648.1,754.4,852.7,848.3,720.0,576.0,467.6,456.7,468.1,524.8,611.5,658.0,734.3,803.5,856.8,909.8,935.6,1004.7,1192.4,1245.8,1184.7
25,"    Gross government investment",2.9,3.3,3.1,2.3,2.0,2.7,2.9,4.2,3.9,4.3,4.6,4.4,10.8,29.0,39.9,38.2,25.3,4.7,5.7,8.5,11.3,11.5,19.6,24.6,26.7,25.4,24.4,27.1,30.2,32.6,35.9,36.0,39.9,42.6,44.4,46.4,47.9,53.6,57.7,59.2,59.5,59.8,58.5,60.7,65.6,76.2,84.4,89.6,93.2,105.6,120.1,135.9,147.3,156.9,171.2,193.2,219.9,238.1,254.6,258.4,270.4,290.4,294.1,296.1,291.9,294.2,307.7,320.0,326.6,344.0,368.5,388.9,411.9,443.7,464.2,486.2,513.3,550.9,592.0,629.6,642.9,644.5,636.6,621.0,601.8,606.3,629.4,649.7,681.4,730.6,775.0,816.5,826.8,876.8,992.5
26,"        Federal",0.2,0.3,0.4,0.5,0.7,0.9,1.2,1.3,1.3,1.3,1.2,1.6,8.5,27.4,39.0,37.4,24.5,3.1,2.8,4.4,5.9,5.5,12.5,17.2,18.7,16.1,14.2,15.8,17.6,18.9,21.8,21.9,24.6,26.5,26.7,27.1,26.7,30.1,31.9,31.1,30.7,30.5,27.8,29.3,31.7,35.7,39.9,44.8,49.2,54.7,61.7,70.2,80.4,90.0,102.3,115.6,132.5,141.9,152.4,148.0,151.2,158.2,156.8,156.4,150.7,145.4,147.7,149.8,143.7,147.7,154.9,157.4,163.8,182.2,195.2,208.4,222.0,235.6,250.0,271.7,282.6,297.2,295.7,287.3,271.0,266.8,271.0,275.0,287.6,311.9,332.5,364.8,378.0,406.5,442.6
27,"        State and local",2.7,2.9,2.7,1.8,1.4,1.8,1.6,2.9,2.6,3.0,3.4,2.8,2.3,1.6,0.9,0.7,0.9,1.6,2.9,4.1,5.4,5.9,7.0,7.4,8.0,9.3,10.1,11.4,12.7,13.7,14.1,14.1,15.3,16.1,17.8,19.3,21.2,23.5,25.7,28.1,28.8,29.3,30.7,31.3,34.0,40.5,44.6,44.9,44.0,50.8,58.4,65.7,66.9,67.0,68.8,77.6,87.3,96.2,102.2,110.4,119.2,132.2,137.3,139.7,141.2,148.8,160.0,170.2,182.9,196.3,213.6,231.5,248.0,261.5,269.1,277.8,291.3,315.3,342.0,357.9,360.3,347.3,341.0,333.7,330.9,339.5,358.4,374.6,393.9,418.8,442.5,451.7,448.8,470.2,549.9
28,Capital account transactions (net)1,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.3,7.4,5.3,-1.3,0.9,1.3,0.4,0.2,0.5,0.2,6.7,4.6,-11.9,4.2,8.8,4.6,-0.7,7.7,6.4,0.8,6.3,7.4,9.5,-0.5,7.0,6.9,8.3,7.0,16.0,4.7,6.9,6.1,3.7,5.3,13.7
29,"    Private",---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,0.8,0.9,0.9,1.1,1.3,1.8,1.8,2.7,3.5,3.5,3.8,4.5,5.7,7.9,9.9,4.7,7.7,9.0,5.9,8.1,10.4,12.3,11.4,11.0,9.7,7.1,9.4,6.8,6.9,8.3,10.8,9.6,8.3,11.6,14.0,21.2,21.9,30.0,30.8,29.3,27.7,15.5,18.1,2.8,-4.8,-30.9,19.8,-3.8,-52.8,-121.5,-59.8,-48.6,-26.0,6.4,4.7,37.2,15.0,240.8,2.2,-12.3,1.9,-43.9,140.3,-123.6
30,"        Domestic business",---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,-0.7,-0.8,-1.0,-0.9,-1.0,-0.9,-1.0,-0.2,0.5,-0.4,-0.1,-0.1,0.1,2.6,5.0,-0.3,1.8,0.9,0.0,2.1,3.3,4.8,3.1,4.7,3.6,0.7,2.2,-0.5,-0.8,1.3,-0.7,-0.6,6.8,-0.6,3.1,7.1,3.4,7.9,4.3,-0.4,-1.2,-7.0,-2.6,-2.3,2.5,-0.1,13.2,0.1,-49.6,-83.0,-29.4,-41.4,-12.1,-4.3,4.9,26.2,11.7,268.2,6.7,-13.3,13.3,13.5,153.2,-3.4
31,"        Households and institutions",---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,1.6,1.7,1.8,2.0,2.3,2.6,2.8,2.9,3.0,3.9,3.9,4.5,5.5,5.3,4.9,5.0,5.9,8.1,5.8,6.0,7.1,7.5,8.2,6.3,6.2,6.4,7.1,7.3,7.7,7.0,11.5,10.2,1.4,12.3,10.9,14.1,18.5,22.1,26.5,29.7,28.8,22.5,20.7,5.0,-7.3,-30.9,6.6,-4.0,-3.3,-38.5,-30.4,-7.2,-13.9,10.8,-0.2,11.0,3.3,-27.4,-4.4,0.9,-11.4,-57.3,-12.9,-120.2
32,"    Government",---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,-0.8,-0.9,-0.9,-1.1,-1.3,-1.8,-1.8,-2.7,-3.5,-3.5,-3.8,-4.5,-5.6,-7.9,-9.8,-4.6,-7.6,-8.9,-5.8,-8.0,-10.3,-12.2,-11.3,-10.9,-9.7,-6.9,-9.3,-6.7,-6.8,-7.9,-3.4,-4.3,-9.5,-10.8,-12.7,-20.8,-21.7,-29.5,-30.6,-22.6,-23.1,-27.4,-13.9,6.0,9.4,30.2,-12.1,10.2,53.6,127.8,67.2,58.1,25.5,0.5,2.2,-28.9,-8.0,-224.8,2.4,19.2,4.2,47.5,-135.0,137.4
33,"        Federal",---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,1.3,1.4,1.6,1.9,2.1,1.7,2.0,1.0,2.0,2.4,1.3,0.9,0.0,-2.3,-2.5,4.4,2.6,2.6,6.1,6.2,6.2,3.3,3.5,4.9,7.9,12.0,10.1,11.5,12.0,10.6,15.8,15.7,11.5,11.6,11.0,5.0,6.1,-0.2,-2.3,8.8,12.5,14.2,27.8,46.9,46.1,70.7,34.6,56.1,103.4,183.2,132.1,120.7,88.9,61.8,62.3,29.0,51.6,-166.8,59.1,77.1,70.6,112.2,75.7,213.1
